id,timestamp,where_stranger,when_stranger,where_student,where_friend,coin_same,coin_different,number_0_10,number_list,number_big,demos_status,demos_identities,demos_languages,error_stranger,error_student,error_friend
115,2020-05-03T15:49:24Z,Clark and Lake,1899-12-30T10:00:00Z,Pret A Manger,Reg,Heads,Heads,10,100,999,UChicago undergraduate student,NA,NA,NA,NA,NA
116,2020-05-03T16:46:39Z,"The bean; if this person is in visiting Chicago, it probably seems like the most well-known ""Chicago spot.""",1899-12-30T12:30:00Z,Bartlett; I assume they have to stop by at some point.,My apartment... hopefully he comes back.,Heads,Tails,7,100,1000000000000,UChicago undergraduate student,NA,NA,NA,NA,NA
117,2020-05-03T18:25:41Z,"Where I usually see this person (i.e in class, ratner, etc)",1899-12-30T13:00:00Z,The Reg,The reg,Tails,Tails,7,7,100,UChicago undergraduate student,NA,NA,TRUE,NA,NA
118,2020-05-03T18:28:02Z,The Bean in Millennium Park,1899-12-30T12:00:00Z,The center quadrangle,Our dormitory,Heads,Tails,7,100,1000,NA,NA,NA,NA,NA,NA
119,2020-05-03T19:24:08Z,The Med,1899-12-30T18:00:00Z,The Reg,Dorm,Heads,Tails,5,13,500,NA,NA,NA,NA,NA,NA
120,2020-05-03T19:35:22Z,"meet at a starbucks but tell a mutual friend to tell them time/address, so we do not communicate directly",1899-12-30T15:00:00Z,reg,spot we see each other the most (reg),Heads,Tails,8,261,888,NA,NA,NA,TRUE,NA,NA
121,2020-05-03T20:10:12Z,Grant Park,1899-12-30T14:00:00Z,The Reg,My apartment,Heads,Tails,5,100,1000000,UChicago undergraduate student,NA,NA,NA,NA,NA
122,2020-05-03T20:34:33Z,regenstein,1899-12-30T14:00:00Z,NA,Quad,Heads,Heads,2,100,5,UChicago undergraduate student,NA,NA,NA,NA,NA
123,2020-05-03T20:41:48Z,The reg,1899-12-30T12:00:00Z,the reg,Cathey,Heads,Heads,7,100,100,UChicago undergraduate student,NA,NA,NA,NA,NA
124,2020-05-03T20:55:56Z,Center of the quad,1899-12-30T12:00:00Z,Reg,Koi Pond (Botany Pond),Heads,Heads,2,100,1000000,NA,NA,NA,NA,NA,NA
125,2020-05-03T21:01:30Z,Sears Tower,1899-12-30T11:00:00Z,The reg,Our apartment,Heads,Heads,7,7,7,NA,NA,NA,NA,NA,NA
126,2020-05-03T21:18:30Z,The library,1899-12-30T12:00:00Z,Outside the Bookstore,Outside the Bookstore,Heads,Heads,7,7,1000,NA,NA,NA,NA,NA,NA
127,2020-05-03T21:40:04Z,A Starbucks,1899-12-30T17:00:00Z,The Reg,Their apartment/dorm,Heads,Tails,5,100,1000000,NA,NA,NA,NA,NA,NA
128,2020-05-03T21:44:32Z,Their house,1899-12-30T08:00:00Z,The Reg,The Reg (our usual spot),Tails,Tails,4,7,100,NA,NA,NA,TRUE,NA,NA
129,2020-05-03T22:03:12Z,Millenium Park,1899-12-30T13:00:00Z,Regenstein,My apartment,Heads,Tails,4,7,100,NA,NA,NA,NA,NA,NA
