id,status,identities,languages,affiliation,student,gender,num_languages,new_to_uchicago,new_to_chicago,new_to_usa,international
262,"uchicago ma student (e.g., mapss, macss, harris/crown ma)",new to chicago (<1 year),japanese,MA Student,Graduate,Man,3,FALSE,TRUE,FALSE,FALSE
262,"uchicago ma student (e.g., mapss, macss, harris/crown ma)",new to chicago (<1 year),english,MA Student,Graduate,Man,3,FALSE,TRUE,FALSE,FALSE
263,"uchicago ma student (e.g., mapss, macss, harris/crown ma)",woman,NA,MA Student,Graduate,Woman,NA,FALSE,FALSE,FALSE,FALSE
263,"uchicago ma student (e.g., mapss, macss, harris/crown ma)",new to the university of chicago (<1 year),NA,MA Student,Graduate,Woman,NA,TRUE,FALSE,FALSE,FALSE
263,"uchicago ma student (e.g., mapss, macss, harris/crown ma)",new to chicago (<1 year),NA,MA Student,Graduate,Woman,NA,FALSE,TRUE,FALSE,FALSE
263,"uchicago ma student (e.g., mapss, macss, harris/crown ma)",raised outside the us,NA,MA Student,Graduate,Woman,NA,FALSE,FALSE,FALSE,TRUE
264,"uchicago ma student (e.g., mapss, macss, harris/crown ma)",man,english,MA Student,Graduate,Man,1,FALSE,FALSE,FALSE,FALSE
264,"uchicago ma student (e.g., mapss, macss, harris/crown ma)",new to the university of chicago (<1 year),english,MA Student,Graduate,Man,1,TRUE,FALSE,FALSE,FALSE
264,"uchicago ma student (e.g., mapss, macss, harris/crown ma)",new to chicago (<1 year),english,MA Student,Graduate,Man,1,FALSE,TRUE,FALSE,FALSE
265,"uchicago ma student (e.g., mapss, macss, harris/crown ma)",woman,mandarin,MA Student,Graduate,Woman,1,FALSE,FALSE,FALSE,FALSE
265,"uchicago ma student (e.g., mapss, macss, harris/crown ma)",new to the university of chicago (<1 year),mandarin,MA Student,Graduate,Woman,1,TRUE,FALSE,FALSE,FALSE
265,"uchicago ma student (e.g., mapss, macss, harris/crown ma)",new to chicago (<1 year),mandarin,MA Student,Graduate,Woman,1,FALSE,TRUE,FALSE,FALSE
265,"uchicago ma student (e.g., mapss, macss, harris/crown ma)",new to the us (<1 year),mandarin,MA Student,Graduate,Woman,1,FALSE,FALSE,TRUE,FALSE
266,"uchicago ma student (e.g., mapss, macss, harris/crown ma)",woman,mandarin,MA Student,Graduate,Woman,1,FALSE,FALSE,FALSE,FALSE
266,"uchicago ma student (e.g., mapss, macss, harris/crown ma)",new to the university of chicago (<1 year),mandarin,MA Student,Graduate,Woman,1,TRUE,FALSE,FALSE,FALSE
266,"uchicago ma student (e.g., mapss, macss, harris/crown ma)",new to chicago (<1 year),mandarin,MA Student,Graduate,Woman,1,FALSE,TRUE,FALSE,FALSE
266,"uchicago ma student (e.g., mapss, macss, harris/crown ma)",raised outside the us,mandarin,MA Student,Graduate,Woman,1,FALSE,FALSE,FALSE,TRUE
267,"uchicago ma student (e.g., mapss, macss, harris/crown ma)",man,spanish,MA Student,Graduate,Man,3,FALSE,FALSE,FALSE,FALSE
267,"uchicago ma student (e.g., mapss, macss, harris/crown ma)",man,french,MA Student,Graduate,Man,3,FALSE,FALSE,FALSE,FALSE
267,"uchicago ma student (e.g., mapss, macss, harris/crown ma)",man,english,MA Student,Graduate,Man,3,FALSE,FALSE,FALSE,FALSE
268,"uchicago ma student (e.g., mapss, macss, harris/crown ma)",man,english,MA Student,Graduate,Man,1,FALSE,FALSE,FALSE,FALSE
269,"uchicago ma student (e.g., mapss, macss, harris/crown ma)",woman,mandarin,MA Student,Graduate,Woman,1,FALSE,FALSE,FALSE,FALSE
270,"uchicago ma student (e.g., mapss, macss, harris/crown ma)",woman,mandarin,MA Student,Graduate,Woman,2,FALSE,FALSE,FALSE,FALSE
270,"uchicago ma student (e.g., mapss, macss, harris/crown ma)",woman,english,MA Student,Graduate,Woman,2,FALSE,FALSE,FALSE,FALSE
270,"uchicago ma student (e.g., mapss, macss, harris/crown ma)",new to the university of chicago (<1 year),mandarin,MA Student,Graduate,Woman,2,TRUE,FALSE,FALSE,FALSE
270,"uchicago ma student (e.g., mapss, macss, harris/crown ma)",new to the university of chicago (<1 year),english,MA Student,Graduate,Woman,2,TRUE,FALSE,FALSE,FALSE
270,"uchicago ma student (e.g., mapss, macss, harris/crown ma)",new to chicago (<1 year),mandarin,MA Student,Graduate,Woman,2,FALSE,TRUE,FALSE,FALSE
270,"uchicago ma student (e.g., mapss, macss, harris/crown ma)",new to chicago (<1 year),english,MA Student,Graduate,Woman,2,FALSE,TRUE,FALSE,FALSE
271,"uchicago ma student (e.g., mapss, macss, harris/crown ma)",woman,NA,MA Student,Graduate,Woman,NA,FALSE,FALSE,FALSE,FALSE
271,"uchicago ma student (e.g., mapss, macss, harris/crown ma)",new to the university of chicago (<1 year),NA,MA Student,Graduate,Woman,NA,TRUE,FALSE,FALSE,FALSE
271,"uchicago ma student (e.g., mapss, macss, harris/crown ma)",new to chicago (<1 year),NA,MA Student,Graduate,Woman,NA,FALSE,TRUE,FALSE,FALSE
